"channel","month","year","total_sales"
AFFINITY,May,2018,6175
AFILIATE,May,2018,3633
WEBSITE,May,2018,5544
AFFINITY,June,2018,6105
AFILIATE,June,2018,3836
WEBSITE,June,2018,6861
AFFINITY,July,2018,6280
AFILIATE,July,2018,4139
WEBSITE,July,2018,8431
AFFINITY,August,2018,4049
AFILIATE,August,2018,3417
WEBSITE,August,2018,5878
AFFINITY,September,2018,2426
AFILIATE,September,2018,2837
WEBSITE,September,2018,3880
AFFINITY,October,2018,2156
AFILIATE,October,2018,2344
WEBSITE,October,2018,4280
AFFINITY,November,2018,1985
AFILIATE,November,2018,1991
WEBSITE,November,2018,4593
AFFINITY,December,2018,2017
AFILIATE,December,2018,2398
WEBSITE,December,2018,4569
AFFINITY,January,2019,2853
AFILIATE,January,2019,2940
WEBSITE,January,2019,5231
AFFINITY,February,2019,2485
AFILIATE,February,2019,2644
WEBSITE,February,2019,5122
AFFINITY,March,2019,2943
AFILIATE,March,2019,3311
WEBSITE,March,2019,5631
AFFINITY,April,2019,2589
AFILIATE,April,2019,3225
WEBSITE,April,2019,5676
