channel,month,total_cost
Afiliate,May,"22,896.16"
Affinity,May,"7,992.00"
Website,May,"1,512.00"
Afiliate,June,"22,693.37"
Affinity,June,"7,101.00"
Website,June,"2,722.00"
Afiliate,July,"27,692.77"
Affinity,July,"8,109.00"
Website,July,"3,024.00"
Afiliate,Aug,"23,409.43"
Affinity,Aug,"6,218.00"
Website,Aug,"2,420.00"
Afiliate,Sept,"16,828.97"
Affinity,Sept,"2,044.00"
Website,Sept,"2,117.00"
Afiliate,Oct,"13,405.93"
Affinity,Oct,"1,561.74"
Website,Oct,"2,117.00"
Afiliate,Nov,"10,485.79"
Affinity,Nov,"1,547.64"
Website,Nov,"1,512.00"
Afiliate,Dec,"11,908.80"
Affinity,Dec,"1,889.00"
Website,Dec,"2,117.00"
Afiliate,Jan,"19,695.54"
Affinity,Jan,"1,761.00"
Website,Jan,"3,024.00"
Afiliate,Feb,"19,141.55"
Affinity,Feb,"2,148.00"
Website,Feb,"3,024.00"
Afiliate,Mar,"25,317.54"
Affinity,Mar,"2,486.00"
Website,Mar,"3,327.00"
Afiliate,Apr,"22,728.30"
Affinity,Apr,"1,882.00"
Website,Apr,"3,327.00"
